"id","iata","latitude","longitude","runways","avgAngle","sdAngle"
1649,"GSN","15.11900139","-145.72935610",2,0,0
1657,"GUM","13.48345000","-144.79598250",2,0,0
2660,"PPG","14.33102278","-170.71052580",2,0,0
1191,"CSM","35.33983917","-99.20049944",2,-89.894230305,0.000221904999992972
3335,"XNA","36.28186944","-94.30681111",2,-65.48229608,0.000279320000004191
931,"BCV","61.41612444","-149.50888000",2,30.24793921,0.000331460000000838
2248,"MHR","38.55389694","-121.29759080",2,29.971561765,0.000363614999998596
2986,"SNA","33.67565861","-117.86822250",2,57.64144415,0.000546140000002637
1902,"IYS","61.57196083","-149.54055560",2,17.680162525,0.000705584999998621
3251,"VNY","34.20980972","-118.48997330",2,-84.60215417,0.000882860000000818
971,"BKL","41.51750000","-81.68333333",2,25.232454485,0.00113887499999965
1318,"DVT","33.68831667","-112.08256140",2,3.336227397,0.00114848800000011
246,"2F6","36.35703500","-96.01138556",2,-89.399504885,0.0011887349999995
1906,"JAN","32.31116667","-90.07588889",2,-64.53911942,0.00125796000000022
1786,"HWD","37.65926528","-122.12240830",2,-24.532395475,0.00127258500000149
2323,"MRY","36.58698250","-121.84294780",2,-18.69033213,0.00149323000000035
3030,"SUS","38.66187028","-90.65123000",2,9.399313299,0.00156354100000078
2518,"ONT","34.05600000","-117.60119440",2,0.022383052,0.001727988
992,"BOI","43.56444444","-116.22277780",2,-18.84513868,0.00184814999999805
3119,"TOA","33.80337750","-118.33960000",2,-33.543787475,0.00192772499999982
2652,"POC","34.09164833","-117.78178030",2,-2.663214785,0.00201938899999998
2298,"MOD","37.62581722","-120.95442140",2,-28.319464475,0.00245661499999983
1489,"FAT","36.77619444","-119.71813890",2,-29.71979529,0.00264466999999868
2051,"LCK","39.81375917","-82.92786472",2,37.339432185,0.00291019499999834
3262,"VUJ","35.41669472","-80.15079556",2,47.17705731,0.00317709000000121
2768,"RHV","37.33287306","-121.81979470",2,-46.533330695,0.00341000500000455
945,"BFL","35.43359806","-119.05676810",2,-39.61313417,0.00367276999999966
943,"BFI","47.52998917","-122.30195610",2,-49.78556775,0.00390898999999933
3164,"TYS","35.81248722","-83.99285583",2,39.345016325,0.00397252499999645
1159,"CNW","31.63783139","-97.07413889",2,-87.129248825,0.00424565499999474
2933,"SFF","47.68281806","-117.32255830",2,25.971246905,0.00450300500000012
1172,"CPM","33.89001611","-118.24368310",2,0.2738120555,0.00459796550000001
1770,"HSV","34.64044750","-86.77310944",2,-88.85241698,0.00512942999999666
1707,"HEF","38.72141667","-77.51544444",2,-54.29213237,0.00548839000000179
1111,"CHD","33.26908333","-111.81113890",2,35.539251715,0.00560565500000187
2903,"SCK","37.89426694","-121.23862030",2,-31.37433598,0.00567964999999848
2980,"SMF","38.69542167","-121.59076690",2,-89.042787545,0.00574795499999325
1891,"ITH","42.49102778","-76.45844444",2,-34.148744805,0.0063869450000027
2854,"S43","47.90815306","-122.10540720",2,-68.3371391,0.00655772999999726
2116,"LVK","37.69339944","-121.82035190",2,-0.459029552,0.00677675700000001
2919,"SDM","32.57230556","-116.98025000",2,-4.7421354075,0.00682730649999996
891,"AUS","30.19453278","-97.66987194",2,-88.49269657,0.00786477000000119
1426,"EUG","44.12326000","-123.21868560",2,-89.142427325,0.00853194500000143
1620,"GLH","33.48288111","-90.98561389",2,-89.990149285,0.00912686499999893
979,"BLV","38.54517861","-89.83518444",2,-39.659133135,0.00950878499999952
1118,"CIC","39.79538278","-121.85842310",2,-50.37838181,0.0101088099999984
1510,"FFZ","33.46083333","-111.72833330",2,34.009733205,0.011383835000002
1402,"ENA","60.57200000","-151.24752780",2,39.2426157,0.0171487400000014
2070,"LHV","41.13618028","-77.42053556",2,5.843259213,0.031465334
1578,"GAL","64.73617806","-156.93741640",2,0.1678702325,0.0357105715
1319,"DWH","30.06186111","-95.55277778",2,-81.737767795,0.0544189550000027
1563,"FWS","32.56522778","-97.30807778",2,-89.93584504,0.0641549600000069
2960,"SJC","37.36186194","-121.92900890",3,-42.3733448766667,0.000793330164027851
1894,"IWA","33.30783333","-111.65547220",3,-40.58246093,0.00336190196796546
2922,"SEA","47.44898194","-122.30931310",3,-89.49840885,0.00459230148283897
2619,"PHX","33.43416667","-112.00805560",3,-0.0431973886666667,0.00978738496345612
2040,"LAX","33.94253611","-118.40807440",4,5.843749295,0.00355191131899732
1485,"FAI","64.81367750","-147.85966940",4,28.53860993,0.0135719786956289