"OCDATE","OCUNIT","LATITUDE","LONGITUDE","OCweek.number","OCRESULT"
"8/18/2010","%",29.833217,-88.983117,34,0.00839
"8/18/2010","%",30.062317,-88.9149,34,0.0014
"8/18/2010","%",29.27951,-90.07694,34,0.0169
"8/16/2010","%",29.172183,-89.090767,34,0.0106
"8/15/2010","%",29.71976,-92.97915,33,0.00847
"8/15/2010","%",29.54099,-92.2476,33,0.0109
"8/15/2010","%",29.74594,-93.07921,33,0.0147
"8/15/2010","%",29.54099,-92.2476,33,0.00588
"8/15/2010","%",29.76748,-93.17539,33,0.0176
"8/14/2010","%",29.94995,-89.426217,33,0.0215
"8/14/2010","%",29.94995,-89.426217,33,0.0179
"8/14/2010","%",29.53179,-92.33103,33,0.0148
"8/14/2010","%",29.54917,-92.41589,33,0.0201
"8/14/2010","%",29.56571,-92.49802,33,0.0198
"8/14/2010","%",29.57966,-92.58403,33,0.0104
"8/14/2010","%",29.59736,-92.66623,33,0.00928
"8/14/2010","%",29.77525,-93.24883,33,0.0107
"8/14/2010","%",29.719017,-89.51485,33,0.0515
"8/14/2010","%",29.719017,-89.51485,33,0.0607
"8/13/2010","%",29.61274,-91.99772,33,0.0135
"8/13/2010","%",29.6318,-89.5755,33,0.0044
"8/13/2010","%",29.55556,-92.00491,33,0.00406
"8/13/2010","%",29.52056,-91.92767,33,0.0035
"8/13/2010","%",29.577433,-89.659833,33,0.021
"8/13/2010","%",29.52056,-91.92767,33,0.00361
"8/13/2010","%",29.535754,-89.591953,33,0.0268
"8/12/2010","%",29.62433,-92.74642,33,0.00722
"8/12/2010","%",29.65621,-92.82204,33,0.00246
"8/12/2010","%",29.68939,-92.90194,33,0.0132
"8/11/2010","%",29.70953,-93.84825,33,0.0141
"8/11/2010","%",29.22508,-91.59042,33,0.00735
"8/8/2010","%",29.51721,-91.58795,32,0.0165
"8/8/2010","%",29.44877,-91.49236,32,0.00732
"8/8/2010","%",29.28947,-89.66203,32,0.000661
"8/8/2010","%",29.47497,-91.37346,32,0.0159
"8/7/2010","%",29.44077,-89.93357,32,0.01
"8/7/2010","%",29.4012,-89.81271,32,0.0922
"8/7/2010","%",29.35195,-91.32592,32,0.0152
"8/7/2010","%",29.064317,-89.2227,32,0.0163
"8/7/2010","%",29.28047,-91.31752,32,0.0197
"8/7/2010","%",29.26507,-91.24212,32,0.00895
"8/7/2010","%",29.41648,-90.04369,32,0.0103
"8/7/2010","%",29.41648,-90.04369,32,0.0501
"8/7/2010","%",29.043483,-89.352383,32,0.0195
"8/6/2010","%",29.34561,-90.02518,32,0.0593
"8/6/2010","%",29.177033,-89.339633,32,0.0153
"8/6/2010","%",29.27945,-90.07664,32,0.0124
"8/6/2010","%",29.22282,-91.17071,32,0.0226
"8/6/2010","%",29.19276,-91.09645,32,0.0669
"8/6/2010","%",29.183583,-89.43635,32,0.0129
"8/6/2010","%",29.1737,-91.00341,32,0.0255
"8/6/2010","%",29.23315,-89.52115,32,0.0289
"8/5/2010","%",29.18327,-90.30474,32,0.0106
"8/5/2010","%",29.24578,-90.34563,32,0.0285
"8/5/2010","%",29.13024,-90.89498,32,0.0184
"8/5/2010","%",29.15744,-90.49616,32,0.00717
"8/5/2010","%",29.10675,-90.82388,32,0.0173
"8/4/2010","%",29.966767,-88.849033,32,0.00178
"8/4/2010","%",29.25195,-89.59975,32,0.00223
"8/4/2010","%",29.10296,-90.67625,32,0.0256
"8/3/2010","%",29.32077,-89.83302,32,0.000941
"8/3/2010","%",29.10729,-90.37296,32,0.00696
"8/3/2010","%",29.10729,-90.37296,32,0.00671
"8/2/2010","%",29.301767,-89.16365,32,0.0408
"8/2/2010","%",29.28773,-90.57163,32,0.0365
"8/2/2010","%",29.21243,-90.12675,32,0.0273
"7/11/2010","%",30.30483,-87.38975,28,0.168
"7/11/2010","%",30.29862,-87.41538,28,0.0025
"7/4/2010","%",30.2435,-88.10469,27,0.0014
"7/2/2010","%",30.26242,-88.03767,27,0.00254
"7/1/2010","%",30.281925,-88.111746,27,0.00171
"6/30/2010","%",30.308651,-87.86994,27,0.00986
"6/30/2010","%",30.44658,-88.01358,27,0.0329
"6/30/2010","%",30.308651,-87.86994,27,0.0365
"6/30/2010","%",29.67373,-84.97865,27,0.0136
"6/29/2010","%",30.6055,-88.03142,27,0.0144
"6/29/2010","%",30.602637,-87.9463,27,0.0107
"6/20/2010","%",29.10482,-90.38632,25,0.00387
"6/10/2010","%",29.76762,-93.50629,24,0.0119
"6/10/2010","%",29.75856,-93.58049,24,0.00304
"6/10/2010","%",29.09526,-90.42462,24,0.0101
"6/9/2010","%",29.70953,-93.84825,24,0.0114
"6/9/2010","%",29.72818,-93.75698,24,0.0149
"6/9/2010","%",29.7457,-93.67476,24,0.0134
"6/9/2010","%",30.300017,-89.206033,24,0.0127
"6/8/2010","%",29.08861,-90.43814,24,0.0269
"6/8/2010","%",30.267983,-87.7379,24,0.0247
"6/8/2010","%",29.76051,-93.34154,24,0.0202
"6/8/2010","%",29.77528,-93.248872,24,0.00458
"6/8/2010","%",29.77528,-93.248872,24,0.0109
"6/8/2010","%",29.17767,-90.28456,24,0.013
"6/8/2010","%",29.76776,-93.17563,24,0.0158
"6/7/2010","%",30.213933,-88.259617,24,0.0161
"6/7/2010","%",29.74753,-93.07907,24,0.02
"6/7/2010","%",29.68952,-92.90186,24,0.0206
"6/7/2010","%",29.72001,-92.97881,24,0.00573
"6/7/2010","%",29.65617,-92.82196,24,0.014
"6/6/2010","%",30.296917,-87.216633,23,0.0346
"6/6/2010","%",29.59781,-92.66682,23,0.0155
"6/6/2010","%",29.62423,-92.74665,23,0.0346
"6/6/2010","%",29.56575,-92.498249,23,0.0248
"6/6/2010","%",29.579805,-92.58411,23,0.012
"6/6/2010","%",29.541,-92.24792,23,0.00536
"6/6/2010","%",29.54917,-92.41589,23,0.0126
"6/6/2010","%",29.53179,-92.33119,23,0.00596
"6/4/2010","%",29.58487,-92.08543,23,0.00773
"6/4/2010","%",29.57746,-92.17448,23,0.000273
"6/4/2010","%",29.57746,-92.17448,23,0.0022
"6/1/2010","%",29.09518,-90.42461,23,0.00854
"5/16/2010","%",29.6138,-91.9976,20,0.0213
"5/16/2010","%",29.555583,-92.004967,20,0.0223
"5/16/2010","%",29.521683,-91.926633,20,0.0805
"5/14/2010","%",29.489017,-91.85125,20,0.0171
"5/14/2010","%",29.488117,-91.770567,20,0.00072
"5/14/2010","%",29.507217,-91.711283,20,0.006
"5/14/2010","%",29.572967,-91.67435,20,0.0393
"5/14/2010","%",29.696117,-91.635933,20,0.0164
"5/14/2010","%",29.609167,-91.6117,20,0.000878
"5/13/2010","%",29.279417,-90.076817,20,0.026
"5/13/2010","%",29.212483,-90.126717,20,0.000462
"5/12/2010","%",29.4487,-91.49245,20,0.00619
"5/12/2010","%",29.47485,-91.3735,20,0.0802
"5/12/2010","%",29.351933,-91.325817,20,0.00309
"5/11/2010","%",29.2834,-90.579333,20,0.144
"5/11/2010","%",29.246033,-90.345567,20,0.00139
"5/10/2010","%",29.104183,-90.676183,20,0.0194
"5/10/2010","%",29.066367,-90.809433,20,0.0742
"5/10/2010","%",29.1067,-90.823983,20,0.038
"5/10/2010","%",29.131217,-90.894517,20,0.018
"5/10/2010","%",29.173533,-91.003433,20,0.0249
"5/9/2010","%",29.1926,-91.096333,19,0.019
"5/9/2010","%",29.222917,-91.170767,19,0.00456
"5/9/2010","%",29.235117,-91.241667,19,0.0076
"5/8/2010","%",29.183533,-90.30455,19,0.000957
"5/7/2010","%",30.1013,-89.283383,19,0.012
"5/7/2010","%",30.062967,-89.197733,19,0.012
"5/6/2010","%",29.41645,-90.0439,19,0.053
"5/6/2010","%",29.950033,-89.426252,19,0.0345
"5/6/2010","%",29.251983,-89.59965,19,0.019
"5/6/2010","%",30.034017,-89.374067,19,0.0239
"5/6/2010","%",29.41645,-89.983283,19,0.0298
"5/6/2010","%",29.440933,-89.933517,19,0.03
"5/6/2010","%",29.289467,-89.662183,19,0.0505
"5/6/2010","%",30.382466,-87.217063,19,0.0285
"5/6/2010","%",29.307,-89.742483,19,0.0208
"5/6/2010","%",30.033433,-89.500983,19,0.0162
"5/6/2010","%",29.401283,-89.812767,19,0.00656
"5/6/2010","%",30.323923,-87.217063,19,0.0263
"5/6/2010","%",29.323617,-89.83375,19,0.00049
"5/5/2010","%",30.372285,-87.040162,19,0.00209
"5/5/2010","%",29.416383,-89.669,19,0.0833
"5/5/2010","%",29.232,-89.5209,19,0.0225
"5/5/2010","%",30.308651,-87.452506,19,0.00144
"5/5/2010","%",29.18395,-89.436617,19,0.0103
"5/5/2010","%",29.406583,-89.645267,19,0.000739
"5/5/2010","%",30.344286,-87.461414,19,0.00175
